Car_ID,Car_Name,Year,Engine_HP,Buying_Price_Lakh,Maintenance_Cost,Safety_Rating,Mileage,Class,Modern_Technologies
1,Tata Nexon,2023,Moderate,12.0,Low,High,Medium,Recommended,Touchscreen|Camera|Connected Car Tech
2,Tata Harrier,2022,Moderate,20.0,Medium,High,Medium,Recommended,Touchscreen|Camera|ADAS|Panoramic Sunroof
3,Tata Safari,2023,Moderate,24.0,Medium,High,Medium,Recommended,Touchscreen|Camera|ADAS|Ventilated Seats
4,Tata Punch,2023,Weak,8.5,Low,High,High,Recommended,Touchscreen|Camera|Voice Command
5,Tata Altroz,2022,Weak,9.0,Low,High,High,Recommended,Touchscreen|Camera|Ambient Lighting
6,Tata Tiago,2021,Weak,6.5,Low,High,High,Recommended,Touchscreen|Bluetooth|Digital Instrument Cluster
7,Tata Tigor,2022,Weak,8.0,Low,High,High,Recommended,Touchscreen|Camera|Bluetooth
8,Tata Nexon_EV,2023,Moderate,16.5,Low,High,High,Recommended,Touchscreen|Camera|EV Telematics|Regen Braking
9,Tata Tiago_EV,2023,Weak,9.5,Low,High,High,Recommended,Touchscreen|Camera|EV Telematics
10,Tata Hexa,2019,Moderate,13.0,Medium,High,Medium,Recommended,Touchscreen|Camera|JBL Audio
11,Tata Aria,2015,Moderate,6.0,Medium,Medium,Medium,Good,Bluetooth|Projector Headlamps
12,Tata Indica,2017,Weak,2.5,Low,Low,High,Poor,Air Conditioning|Power Windows
13,Tata Indigo,2016,Weak,3.0,Low,Low,High,Poor,Air Conditioning|Bluetooth
14,Tata Nano,2018,Weak,1.5,Low,Low,High,Poor,Bluetooth|Power Steering
15,Tata Sumo,2019,Weak,7.0,Low,Low,High,Poor,Power Steering|Dual AC
16,Mahindra XUV700,2023,Moderate,24.0,Medium,High,Medium,Recommended,Touchscreen|Camera|ADAS|Alexa Integration
17,Mahindra Scorpio-N,2023,Moderate,21.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Connected Car Tech
18,Mahindra Thar,2022,Moderate,17.0,Medium,High,Medium,Recommended,Touchscreen|4WD|Off-Road Telematics
19,Mahindra XUV300,2021,Moderate,12.0,Low,High,Medium,Recommended,Touchscreen|Camera|Dual-Zone AC
20,Mahindra XUV500,2020,Moderate,14.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Sunroof
21,Mahindra Bolero,2023,Weak,10.0,Low,Low,High,Poor,Bluetooth|Micro-Hybrid Tech
22,Mahindra Bolero_Neo,2022,Weak,11.5,Low,Medium,High,Good,Bluetooth|Micro-Hybrid Tech
23,Mahindra Marazzo,2020,Moderate,13.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Roof AC
24,Mahindra KUV100,2019,Weak,6.0,Low,Low,High,Poor,Bluetooth|Joystick Gear
25,Mahindra Alturas_G4,2021,Moderate,28.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Ventilated Seats
26,Mahindra XUV400_EV,2023,Moderate,18.0,Low,High,High,Recommended,Touchscreen|Camera|EV Tech|Regen Braking
27,Mahindra TUV300,2019,Weak,8.5,Low,Medium,High,Good,Bluetooth|Steering Controls
28,Mahindra Quanto,2016,Weak,4.5,Low,Low,High,Poor,Micro-Hybrid Tech
29,Mahindra Verito,2017,Weak,4.0,Low,Low,High,Poor,Air Conditioning|Power Windows
